Experiment	Beetle	Trial	Heading
LPexper.20181122.Fullmoon.Thornwood	10	10	350
LPexper.20181122.WaxGibbous.Wits	1	1	060
LPexper.20181122.WaxGibbous.Wits	1	2	060
LPexper.20181122.WaxGibbous.Wits	1	3	045
LPexper.20181122.WaxGibbous.Wits	1	4	060
LPexper.20181122.WaxGibbous.Wits	1	5	060
LPexper.20181122.WaxGibbous.Wits	1	6	060
LPexper.20181122.WaxGibbous.Wits	1	7	065
LPexper.20181122.WaxGibbous.Wits	1	8	070
LPexper.20181122.WaxGibbous.Wits	1	9	070
LPexper.20181122.WaxGibbous.Wits	1	10	070
LPexper.20181122.WaxGibbous.Wits	2	1	355
LPexper.20181122.WaxGibbous.Wits	2	2	070
LPexper.20181122.WaxGibbous.Wits	2	3	030
LPexper.20181122.WaxGibbous.Wits	2	4	045
LPexper.20181122.WaxGibbous.Wits	2	5	015
LPexper.20181122.WaxGibbous.Wits	2	6	325
LPexper.20181122.WaxGibbous.Wits	2	7	020
LPexper.20181122.WaxGibbous.Wits	2	8	010
LPexper.20181122.WaxGibbous.Wits	2	9	005
LPexper.20181122.WaxGibbous.Wits	2	10	340
LPexper.20181122.WaxGibbous.Wits	3	1	105
LPexper.20181122.WaxGibbous.Wits	3	2	095
LPexper.20181122.WaxGibbous.Wits	3	3	080
LPexper.20181122.WaxGibbous.Wits	3	4	105
LPexper.20181122.WaxGibbous.Wits	3	5	070
LPexper.20181122.WaxGibbous.Wits	3	6	080
LPexper.20181122.WaxGibbous.Wits	3	7	060
LPexper.20181122.WaxGibbous.Wits	3	8	080
LPexper.20181122.WaxGibbous.Wits	3	9	100
LPexper.20181122.WaxGibbous.Wits	3	10	080
LPexper.20181122.WaxGibbous.Wits	4	1	000
LPexper.20181122.WaxGibbous.Wits	4	2	015
LPexper.20181122.WaxGibbous.Wits	4	3	020
LPexper.20181122.WaxGibbous.Wits	4	4	020
LPexper.20181122.WaxGibbous.Wits	4	5	010
LPexper.20181122.WaxGibbous.Wits	4	6	030
LPexper.20181122.WaxGibbous.Wits	4	7	025
LPexper.20181122.WaxGibbous.Wits	4	8	025
LPexper.20181122.WaxGibbous.Wits	4	9	060
LPexper.20181122.WaxGibbous.Wits	4	10	055
LPexper.20181122.WaxGibbous.Wits	5	1	230
LPexper.20181122.WaxGibbous.Wits	5	2	235
LPexper.20181122.WaxGibbous.Wits	5	3	230
LPexper.20181122.WaxGibbous.Wits	5	4	225
LPexper.20181122.WaxGibbous.Wits	5	5	230
LPexper.20181122.WaxGibbous.Wits	5	6	225
LPexper.20181122.WaxGibbous.Wits	5	7	220
LPexper.20181122.WaxGibbous.Wits	5	8	230
LPexper.20181122.WaxGibbous.Wits	5	9	235
LPexper.20181122.WaxGibbous.Wits	5	10	225
LPexper.20181122.WaxGibbous.Wits	6	1	090
LPexper.20181122.WaxGibbous.Wits	6	2	110
LPexper.20181122.WaxGibbous.Wits	6	3	100
LPexper.20181122.WaxGibbous.Wits	6	4	100
LPexper.20181122.WaxGibbous.Wits	6	5	100
LPexper.20181122.WaxGibbous.Wits	6	6	105
LPexper.20181122.WaxGibbous.Wits	6	7	135
LPexper.20181122.WaxGibbous.Wits	6	8	100
LPexper.20181122.WaxGibbous.Wits	6	9	130
LPexper.20181122.WaxGibbous.Wits	6	10	125
LPexper.20181122.WaxGibbous.Wits	7	1	100
LPexper.20181122.WaxGibbous.Wits	7	2	090
LPexper.20181122.WaxGibbous.Wits	7	3	090
LPexper.20181122.WaxGibbous.Wits	7	4	090
LPexper.20181122.WaxGibbous.Wits	7	5	100
LPexper.20181122.WaxGibbous.Wits	7	6	120
LPexper.20181122.WaxGibbous.Wits	7	7	110
LPexper.20181122.WaxGibbous.Wits	7	8	085
LPexper.20181122.WaxGibbous.Wits	7	9	080
LPexper.20181122.WaxGibbous.Wits	7	10	100
LPexper.20181122.WaxGibbous.Wits	8	1	030
LPexper.20181122.WaxGibbous.Wits	8	2	050
LPexper.20181122.WaxGibbous.Wits	8	3	055
LPexper.20181122.WaxGibbous.Wits	8	4	035
LPexper.20181122.WaxGibbous.Wits	8	5	030
LPexper.20181122.WaxGibbous.Wits	8	6	035
LPexper.20181122.WaxGibbous.Wits	8	7	040
LPexper.20181122.WaxGibbous.Wits	8	8	050
LPexper.20181122.WaxGibbous.Wits	8	9	045
LPexper.20181122.WaxGibbous.Wits	8	10	055
LPexper.20181122.WaxGibbous.Wits	9	1	090
LPexper.20181122.WaxGibbous.Wits	9	2	090
LPexper.20181122.WaxGibbous.Wits	9	3	090
LPexper.20181122.WaxGibbous.Wits	9	4	060
LPexper.20181122.WaxGibbous.Wits	9	5	055
LPexper.20181122.WaxGibbous.Wits	9	6	050
LPexper.20181122.WaxGibbous.Wits	9	7	050
LPexper.20181122.WaxGibbous.Wits	9	8	075
LPexper.20181122.WaxGibbous.Wits	9	9	100
LPexper.20181122.WaxGibbous.Wits	9	10	065
LPexper.20181122.WaxGibbous.Wits	10	1	320
LPexper.20181122.WaxGibbous.Wits	10	2	010
LPexper.20181122.WaxGibbous.Wits	10	3	355
LPexper.20181122.WaxGibbous.Wits	10	4	350
LPexper.20181122.WaxGibbous.Wits	10	5	025
LPexper.20181122.WaxGibbous.Wits	10	6	040
LPexper.20181122.WaxGibbous.Wits	10	7	040
LPexper.20181122.WaxGibbous.Wits	10	8	030
LPexper.20181122.WaxGibbous.Wits	10	9	045
LPexper.20181122.WaxGibbous.Wits	10	10	025
LPexper.20181123.Fullmoon.overcast.Thornwood	1	1	070
LPexper.20181123.Fullmoon.overcast.Thornwood	1	2	030
LPexper.20181123.Fullmoon.overcast.Thornwood	1	3	025
LPexper.20181123.Fullmoon.overcast.Thornwood	1	4	095
LPexper.20181123.Fullmoon.overcast.Thornwood	1	5	110
LPexper.20181123.Fullmoon.overcast.Thornwood	1	6	120
LPexper.20181123.Fullmoon.overcast.Thornwood	1	7	130
LPexper.20181123.Fullmoon.overcast.Thornwood	1	8	110
LPexper.20181123.Fullmoon.overcast.Thornwood	1	9	115
LPexper.20181123.Fullmoon.overcast.Thornwood	1	10	135
LPexper.20181123.Fullmoon.overcast.Thornwood	2	1	290
LPexper.20181123.Fullmoon.overcast.Thornwood	2	2	300
LPexper.20181123.Fullmoon.overcast.Thornwood	2	3	305
LPexper.20181123.Fullmoon.overcast.Thornwood	2	4	350
LPexper.20181123.Fullmoon.overcast.Thornwood	2	5	320
LPexper.20181123.Fullmoon.overcast.Thornwood	2	6	335
LPexper.20181123.Fullmoon.overcast.Thornwood	2	7	350
LPexper.20181123.Fullmoon.overcast.Thornwood	2	8	000
LPexper.20181123.Fullmoon.overcast.Thornwood	2	9	020
LPexper.20181123.Fullmoon.overcast.Thornwood	2	10	015
LPexper.20181123.Fullmoon.overcast.Thornwood	3	1	095
