Experiment	Beetle	Trial	Heading
LPexper.20191117.SecurityLightBergsigOFF	1	3	070
LPexper.20191117.SecurityLightBergsigOFF	1	4	050
LPexper.20191117.SecurityLightBergsigOFF	1	5	060
LPexper.20191117.SecurityLightBergsigOFF	1	6	065
LPexper.20191117.SecurityLightBergsigOFF	1	7	015
LPexper.20191117.SecurityLightBergsigOFF	1	8	030
LPexper.20191117.SecurityLightBergsigOFF	1	9	355
LPexper.20191117.SecurityLightBergsigOFF	1	10	355
LPexper.20191117.SecurityLightBergsigOFF	10	1	025
LPexper.20191117.SecurityLightBergsigOFF	10	2	135
LPexper.20191117.SecurityLightBergsigOFF	10	3	140
LPexper.20191117.SecurityLightBergsigOFF	10	4	150
LPexper.20191117.SecurityLightBergsigOFF	10	5	155
LPexper.20191117.SecurityLightBergsigOFF	10	6	045
LPexper.20191117.SecurityLightBergsigOFF	10	7	150
LPexper.20191117.SecurityLightBergsigOFF	10	8	155
LPexper.20191117.SecurityLightBergsigOFF	10	9	095
LPexper.20191117.SecurityLightBergsigOFF	10	10	130
LPexper.20191117.SecurityLightBergsigOFF	6	1	250
LPexper.20191117.SecurityLightBergsigOFF	6	2	255
LPexper.20191117.SecurityLightBergsigOFF	6	3	225
LPexper.20191117.SecurityLightBergsigOFF	6	4	275
LPexper.20191117.SecurityLightBergsigOFF	6	5	285
LPexper.20191117.SecurityLightBergsigOFF	6	6	255
LPexper.20191117.SecurityLightBergsigOFF	6	7	260
LPexper.20191117.SecurityLightBergsigOFF	6	8	265
LPexper.20191117.SecurityLightBergsigOFF	6	9	270
LPexper.20191117.SecurityLightBergsigOFF	6	10	260
LPexper.20191117.SecurityLightBergsigOFF	8	1	155
LPexper.20191117.SecurityLightBergsigOFF	8	2	205
LPexper.20191117.SecurityLightBergsigOFF	8	3	200
LPexper.20191117.SecurityLightBergsigOFF	8	4	205
LPexper.20191117.SecurityLightBergsigOFF	8	5	170
LPexper.20191117.SecurityLightBergsigOFF	8	6	215
LPexper.20191117.SecurityLightBergsigOFF	8	7	195
LPexper.20191117.SecurityLightBergsigOFF	8	8	165
LPexper.20191117.SecurityLightBergsigOFF	8	9	195
LPexper.20191117.SecurityLightBergsigOFF	8	10	210
LPexper.20191117.SecurityLightBergsigOFF	2	1	140
LPexper.20191117.SecurityLightBergsigOFF	2	2	165
LPexper.20191117.SecurityLightBergsigOFF	2	3	145
LPexper.20191117.SecurityLightBergsigOFF	2	4	170
LPexper.20191117.SecurityLightBergsigOFF	2	5	145
LPexper.20191117.SecurityLightBergsigOFF	2	6	160
LPexper.20191117.SecurityLightBergsigOFF	2	7	150
LPexper.20191117.SecurityLightBergsigOFF	2	8	060
LPexper.20191117.SecurityLightBergsigOFF	2	9	075
LPexper.20191117.SecurityLightBergsigOFF	2	10	165
LPexper.20191117.SecurityLightBergsigOFF	7	1	150
LPexper.20191117.SecurityLightBergsigOFF	7	2	155
LPexper.20191117.SecurityLightBergsigOFF	7	3	145
LPexper.20191117.SecurityLightBergsigOFF	7	4	175
LPexper.20191117.SecurityLightBergsigOFF	7	5	180
LPexper.20191117.SecurityLightBergsigOFF	7	6	180
LPexper.20191117.SecurityLightBergsigOFF	7	7	310
LPexper.20191117.SecurityLightBergsigOFF	7	8	160
LPexper.20191117.SecurityLightBergsigOFF	7	9	215
LPexper.20191117.SecurityLightBergsigOFF	7	10	185
LPexper.20191117.SecurityLightBergsigOFF	9	1	025
LPexper.20191117.SecurityLightBergsigOFF	9	2	050
LPexper.20191117.SecurityLightBergsigOFF	9	3	030
LPexper.20191117.SecurityLightBergsigOFF	9	4	030
LPexper.20191117.SecurityLightBergsigOFF	9	5	035
LPexper.20191117.SecurityLightBergsigOFF	9	6	035
LPexper.20191117.SecurityLightBergsigOFF	9	7	010
LPexper.20191117.SecurityLightBergsigOFF	9	8	025
LPexper.20191117.SecurityLightBergsigOFF	9	9	030
LPexper.20191117.SecurityLightBergsigOFF	9	10	040
LPexper.20191117.SecurityLightBergsigOFF	3	1	325
LPexper.20191117.SecurityLightBergsigOFF	3	2	310
LPexper.20191117.SecurityLightBergsigOFF	3	3	350
LPexper.20191117.SecurityLightBergsigOFF	3	4	020
LPexper.20191117.SecurityLightBergsigOFF	3	5	015
LPexper.20191117.SecurityLightBergsigOFF	3	6	005
LPexper.20191117.SecurityLightBergsigOFF	3	7	005
LPexper.20191117.SecurityLightBergsigOFF	3	8	025
LPexper.20191117.SecurityLightBergsigOFF	3	9	025
LPexper.20191117.SecurityLightBergsigOFF	3	10	010
LPexper.20191117.SecurityLightBergsigOFF	4	1	270
LPexper.20191117.SecurityLightBergsigOFF	4	2	245
LPexper.20191117.SecurityLightBergsigOFF	4	3	285
LPexper.20191117.SecurityLightBergsigOFF	4	4	235
LPexper.20191117.SecurityLightBergsigOFF	4	5	235
LPexper.20191117.SecurityLightBergsigOFF	4	6	230
LPexper.20191117.SecurityLightBergsigOFF	4	7	240
LPexper.20191117.SecurityLightBergsigOFF	4	8	215
LPexper.20191117.SecurityLightBergsigOFF	4	9	185
LPexper.20191117.SecurityLightBergsigOFF	4	10	245
LPexper.20191117.SecurityLightBergsigOFF	5	1	055
LPexper.20191117.SecurityLightBergsigOFF	5	2	120
LPexper.20191117.SecurityLightBergsigOFF	5	3	115
LPexper.20191117.SecurityLightBergsigOFF	5	4	080
LPexper.20191117.SecurityLightBergsigOFF	5	5	110
LPexper.20191117.SecurityLightBergsigOFF	5	6	095
LPexper.20191117.SecurityLightBergsigOFF	5	7	090
LPexper.20191117.SecurityLightBergsigOFF	5	8	055
LPexper.20191117.SecurityLightBergsigOFF	5	9	095
LPexper.20191117.SecurityLightBergsigOFF	5	10	095
